# Time-averaged data for fix 7
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
61 1.815 0.977958 7.47
62 1.845 0.998415 7.854
63 1.875 0.981827 8.244
64 1.905 1.03895 8.67
65 1.935 0.964432 9.078
66 1.965 1.0544 9.538
67 1.995 1.09409 10.03
68 2.025 1.02306 10.504
69 2.055 1.08144 11.02
70 2.085 0.977246 11.5
71 2.115 0.993248 12.002
72 2.145 1.0503 12.548
73 2.175 0.995333 13.08
74 2.205 0.99756 13.628
75 2.235 1.07373 14.234
76 2.265 1.03857 14.836
77 2.295 0.954463 15.404
78 2.325 1.00203 16.016
79 2.355 0.92879 16.598
80 2.385 1.0425 17.268
81 2.415 1.10781 17.998
82 2.445 1.06895 18.72
83 2.475 0.982506 19.4
84 2.505 0.925263 20.056
85 2.535 1.06877 20.832
86 2.565 1.04122 21.606
87 2.595 1.04357 22.4
88 2.625 0.999306 23.178
89 2.655 1.00447 23.978
90 2.685 0.940411 24.744
91 2.715 1.05422 25.622
92 2.745 1.02191 26.492
93 2.775 0.960856 27.328
94 2.805 0.935913 28.16
95 2.835 1.00651 29.074
96 2.865 1.03946 30.038
97 2.895 0.982119 30.968
98 2.925 1.00346 31.938
99 2.955 0.999402 32.924
100 2.985 1.06285 33.994
300000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0 0
31 0.915 0.0211413 0.002
32 0.945 0.257665 0.028
33 0.975 0.688922 0.102
34 1.005 1.08652 0.226
35 1.035 1.63582 0.424
36 1.065 1.623 0.632
37 1.095 2.02245 0.906
38 1.125 1.79016 1.162
39 1.155 1.61876 1.406
40 1.185 1.51263 1.646
41 1.215 1.55877 1.906
42 1.245 1.48455 2.166
43 1.275 1.55707 2.452
44 1.305 1.46552 2.734
45 1.335 1.13223 2.962
46 1.365 1.23502 3.222
47 1.395 1.38258 3.526
48 1.425 1.01989 3.76
49 1.455 0.994988 3.998
50 1.485 1.0756 4.266
51 1.515 0.987149 4.522
52 1.545 0.993679 4.79
53 1.575 0.899101 5.042
54 1.605 0.900162 5.304
55 1.635 0.999865 5.606
56 1.665 0.970545 5.91
57 1.695 0.991944 6.232
58 1.725 0.904204 6.536
59 1.755 1.04597 6.9
60 1.785 0.955551 7.244
61 1.815 0.859744 7.564
62 1.845 0.873613 7.9
63 1.875 1.06742 8.324
64 1.905 1.05358 8.756
65 1.935 0.959705 9.162
66 1.965 0.880197 9.546
67 1.995 1.02738 10.008
68 2.025 1.03601 10.488
69 2.055 1.13173 11.028
70 2.085 1.12383 11.58
71 2.115 1.00908 12.09
72 2.145 0.954118 12.586
73 2.175 1.04772 13.146
74 2.205 1.10314 13.752
75 2.235 1.0064 14.32
76 2.265 0.986814 14.892
77 2.295 1.07209 15.53
78 2.325 1.12647 16.218
79 2.355 1.01497 16.854
80 2.385 1.0425 17.524
81 2.415 0.937844 18.142
82 2.445 0.796528 18.68
83 2.475 0.924712 19.32
84 2.505 1.09452 20.096
85 2.535 1.02469 20.84
86 2.565 1.00356 21.586
87 2.595 1.05409 22.388
88 2.625 0.96591 23.14
89 2.655 0.979362 23.92
90 2.685 1.03863 24.766
91 2.715 0.984582 25.586
92 2.745 0.939687 26.386
93 2.775 1.08728 27.332
94 2.805 0.962911 28.188
95 2.835 0.988891 29.086
96 2.865 1.02436 30.036
97 2.895 1.04337 31.024
98 2.925 1.00346 31.994
99 2.955 1.05414 33.034
100 2.985 1.05093 34.092
400000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0.0225987 0.002
31 0.915 0.0422825 0.006
32 0.945 0.297306 0.036
33 0.975 0.558586 0.096
34 1.005 1.19167 0.232
35 1.035 1.71844 0.44
36 1.065 1.96632 0.692
37 1.095 1.91911 0.952
38 1.125 1.8461 1.216
39 1.155 1.81779 1.49
40 1.185 1.81516 1.778
41 1.215 1.78659 2.076
42 1.245 1.45029 2.33
43 1.275 1.32841 2.574
44 1.305 1.32001 2.828
45 1.335 1.40039 3.11
46 1.365 1.16852 3.356
47 1.395 1.18247 3.616
48 1.425 1.03732 3.854
49 1.455 1.02007 4.098
50 1.485 0.899006 4.322
51 1.515 1.1491 4.62
52 1.545 1.09008 4.914
53 1.575 0.977594 5.188
54 1.605 0.838319 5.432
55 1.635 0.900541 5.704
56 1.665 0.983315 6.012
57 1.695 0.9673 6.326
58 1.725 0.957743 6.648
59 1.755 0.850568 6.944
60 1.785 0.977773 7.296
61 1.815 0.85437 7.614
62 1.845 0.910014 7.964
63 1.875 0.986862 8.356
64 1.905 0.936514 8.74
65 1.935 0.940794 9.138
66 1.965 0.9673 9.56
67 1.995 1.02738 10.022
68 2.025 1.0058 10.488
69 2.055 1.00179 10.966
70 2.085 1.07904 11.496
71 2.115 1.13966 12.072
72 2.145 1.10416 12.646
73 2.175 1.04024 13.202
74 2.205 1.0194 13.762
75 2.235 1.06664 14.364
76 2.265 1.10068 15.002
77 2.295 0.994792 15.594
78 2.325 0.966011 16.184
79 2.355 0.954324 16.782
80 2.385 0.983369 17.414
81 2.415 1.05318 18.108
82 2.445 1.0571 18.822
83 2.475 1.0114 19.522
84 2.505 0.964756 20.206
85 2.535 1.00266 20.934
86 2.565 0.947055 21.638
87 2.595 0.991001 22.392
88 2.625 1.0738 23.228
89 2.655 1.01201 24.034
90 2.685 0.957599 24.814
91 2.715 0.943758 25.6
92 2.745 1.04305 26.488
93 2.775 0.965453 27.328
94 2.805 0.998907 28.216
95 2.835 1.02633 29.148
96 2.865 0.979072 30.056
97 2.895 1.0307 31.032
98 2.925 1.01587 32.014
99 2.955 0.997375 32.998
100 2.985 1.02709 34.032
500000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0 0
31 0.915 0.0422825 0.004
32 0.945 0.218024 0.026
33 0.975 0.726162 0.104
34 1.005 0.84118 0.2
35 1.035 1.47059 0.378
36 1.065 1.85708 0.616
37 1.095 1.57958 0.83
38 1.125 1.77617 1.084
39 1.155 2.04336 1.392
40 1.185 1.72692 1.666
41 1.215 1.63071 1.938
42 1.245 1.53023 2.206
43 1.275 1.23041 2.432
44 1.305 1.22646 2.668
45 1.335 1.24148 2.918
46 1.365 1.26352 3.184
47 1.395 1.09151 3.424
48 1.425 1.20294 3.7
49 1.455 1.08696 3.96
50 1.485 0.971247 4.202
51 1.515 0.971725 4.454
52 1.545 0.919524 4.702
53 1.575 1.15599 5.026
54 1.605 0.955134 5.304
55 1.635 0.867433 5.566
56 1.665 0.925848 5.856
57 1.695 0.887205 6.144
58 1.725 0.957743 6.466
59 1.755 1.0747 6.84
60 1.785 1.11666 7.242
61 1.815 0.929598 7.588
62 1.845 0.894413 7.932
63 1.875 0.896232 8.288
64 1.905 1.07797 8.73
65 1.935 1.00698 9.156
66 1.965 0.866444 9.534
67 1.995 0.880609 9.93
68 2.025 1.04896 10.416
69 2.055 1.03952 10.912
70 2.085 1.05054 11.428
71 2.115 1.04469 11.956
72 2.145 1.09262 12.524
73 2.175 1.00656 13.062
74 2.205 0.975715 13.598
75 2.235 1.0312 14.18
76 2.265 1.02132 14.772
77 2.295 1.05529 15.4
78 2.325 1.16249 16.11
79 2.355 1.17455 16.846
80 2.385 1.00826 17.494
81 2.415 1.04104 18.18
82 2.445 0.977154 18.84
83 2.475 1.00562 19.536
84 2.505 0.953473 20.212
85 2.535 1.01368 20.948
86 2.565 0.952436 21.656
87 2.595 1.04357 22.45
88 2.625 1.0327 23.254
89 2.655 1.01954 24.066
90 2.685 1.06318 24.932
91 2.715 0.991786 25.758
92 2.745 0.965528 26.58
93 2.775 0.983843 27.436
94 2.805 0.987658 28.314
95 2.835 1.01091 29.232
96 2.865 0.992012 30.152
97 2.895 1.10673 31.2
98 2.925 1.02415 32.19
99 2.955 1.05414 33.23
100 2.985 0.997295 34.234
